iso,year,price,tax,ets
ABW,1985,0.0,0.0,0.0
ABW,1986,0.0,0.0,0.0
ABW,1987,0.0,0.0,0.0
ABW,1988,0.0,0.0,0.0
ABW,1989,0.0,0.0,0.0
ABW,1990,0.0,0.0,0.0
ABW,1991,0.0,0.0,0.0
ABW,1992,0.0,0.0,0.0
ABW,1993,0.0,0.0,0.0
ABW,1994,0.0,0.0,0.0
ABW,1995,0.0,0.0,0.0
ABW,1996,0.0,0.0,0.0
ABW,1997,0.0,0.0,0.0
ABW,1998,0.0,0.0,0.0
ABW,1999,0.0,0.0,0.0
ABW,2000,0.0,0.0,0.0
ABW,2001,0.0,0.0,0.0
ABW,2002,0.0,0.0,0.0
ABW,2003,0.0,0.0,0.0
ABW,2004,0.0,0.0,0.0
ABW,2005,0.0,0.0,0.0
ABW,2006,0.0,0.0,0.0
ABW,2007,0.0,0.0,0.0
ABW,2008,0.0,0.0,0.0
ABW,2009,0.0,0.0,0.0
ABW,2010,0.0,0.0,0.0
ABW,2011,0.0,0.0,0.0
ABW,2012,0.0,0.0,0.0
ABW,2013,0.0,0.0,0.0
ABW,2014,0.0,0.0,0.0
ABW,2015,0.0,0.0,0.0
ABW,2016,0.0,0.0,0.0
ABW,2017,0.0,0.0,0.0
ABW,2018,0.0,0.0,0.0
ABW,2019,0.0,0.0,0.0
ABW,2020,0.0,0.0,0.0
ABW,2021,0.0,0.0,0.0
AFG,1985,0.0,0.0,0.0
AFG,1986,0.0,0.0,0.0
AFG,1987,0.0,0.0,0.0
AFG,1988,0.0,0.0,0.0
AFG,1989,0.0,0.0,0.0
AFG,1990,0.0,0.0,0.0
AFG,1991,0.0,0.0,0.0
AFG,1992,0.0,0.0,0.0
AFG,1993,0.0,0.0,0.0
AFG,1994,0.0,0.0,0.0
AFG,1995,0.0,0.0,0.0
AFG,1996,0.0,0.0,0.0
AFG,1997,0.0,0.0,0.0
AFG,1998,0.0,0.0,0.0
AFG,1999,0.0,0.0,0.0
AFG,2000,0.0,0.0,0.0
AFG,2001,0.0,0.0,0.0
AFG,2002,0.0,0.0,0.0
AFG,2003,0.0,0.0,0.0
AFG,2004,0.0,0.0,0.0
AFG,2005,0.0,0.0,0.0
AFG,2006,0.0,0.0,0.0
AFG,2007,0.0,0.0,0.0
AFG,2008,0.0,0.0,0.0
AFG,2009,0.0,0.0,0.0
